dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,direction_bank_source,utilization_mode,core_training_mode,aug_train_ratio,multi_template_pairs,template_selection,effective_k_dir_zpia,u_perp_norm_ratio_mean,u_perp_zero_rate,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,method_arm,fail_reason
racketsports,3,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
japanesevowels,1,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
japanesevowels,2,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
japanesevowels,3,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
atrialfibrillation,1,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
atrialfibrillation,2,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
atrialfibrillation,3,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
ering,1,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
ering,2,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
ering,3,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
