dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,direction_bank_source,method_arm
racketsports,2,success,lraes,resnet1d,act,0.8588293650793651,0.88329945799458,0.0244700929152148,2.84923770203361,30,30,0.9701754385964912,1.0,0.0002214522749217,0.0001339393747098,1.090136554694459,0.1508150729866854,0.9999999999899998,2.1693166631450227,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes,top1_repeated_baseline
racketsports,3,success,lraes,resnet1d,act,0.8843719087962982,0.8963906898179199,0.0120187810216216,1.3590187050334412,30,28,0.9705882352941176,0.9409722222222222,0.0002216472936654,0.00012304477676,1.0998588139012706,0.1576335415553668,0.9999999999899998,2.1508125271014964,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes,top1_repeated_baseline
japanesevowels,1,success,lraes,resnet1d,act,0.9561456014766324,0.9889874110563766,0.0328418095797441,3.4348122392878606,30,19,0.9452769452769452,0.9627039627039627,0.0003155304340762,2.462287873104878,1.206112973336277,0.3207082329591131,0.9999999999899998,5.394679395933378,0.0,0.0,2160,2160,10,10,0.0,0.0,0.0,lraes,top1_repeated_baseline
japanesevowels,2,success,lraes,resnet1d,act,0.9741476029508114,0.9848477610447516,0.01070015809394,1.0984122902028122,30,30,1.0,1.0,0.0003154688388452,2.4440272767138125,1.1998416113102297,0.3148102137574377,0.9999999999899998,5.356552201176861,0.0,0.0,2160,2160,10,10,0.0,0.0,0.0,lraes,top1_repeated_baseline
japanesevowels,3,success,lraes,resnet1d,act,0.9681596726696928,0.9619448811884852,-0.0062147914812077,-0.6419179619568885,30,16,1.0,1.0,0.0003153983599255,2.443868587030126,1.206101117581887,0.3213734166019912,0.9999999999899998,5.378469108461614,0.0,0.0,2160,2160,10,10,0.0,0.0,0.0,lraes,top1_repeated_baseline
atrialfibrillation,1,success,lraes,resnet1d,act,0.2164502164502164,0.2169312169312169,0.0004810004810004,0.2222221195555855,30,30,0.5555555555555555,0.5555555555555555,0.0001280681164609,0.0270139589213196,1.0718912616256733,0.1261990552293526,0.9999999999899996,1.0436398830928968,0.0,0.0,120,120,10,9,0.0,0.0,0.0,lraes,top1_repeated_baseline
atrialfibrillation,2,success,lraes,resnet1d,act,0.3205128205128205,0.2136752136752136,-0.1068376068376068,-33.33332293333658,28,30,0.5555555555555555,0.5555555555555555,0.0001284414747434,0.0332102469047722,1.0783443239517905,0.126831098506994,0.9999999999899996,1.0337744315478616,0.0,0.0,120,120,10,9,0.0,0.0,0.0,lraes,top1_repeated_baseline
atrialfibrillation,3,success,lraes,resnet1d,act,0.1666666666666666,0.3722943722943723,0.2056277056277056,123.37654935069378,30,15,0.5555555555555555,1.0,0.00012880676554,0.0324313009508014,1.0871256578617887,0.1355365951962216,0.9999999999899996,0.8437962467856867,0.0,0.0,120,120,10,9,0.0,0.0,0.0,lraes,top1_repeated_baseline
ering,1,success,lraes,resnet1d,act,0.5424850558740912,0.7550587869721568,0.2125737310980655,39.18517010028623,24,20,0.7777777777777777,0.7777777777777777,0.0001811779403821,0.0013165872206867,1.0946550052704935,0.1407420486863859,0.9999999999899996,1.0850636769840405,0.0,0.0,240,240,10,10,0.0,0.0,0.0,lraes,top1_repeated_baseline
ering,2,success,lraes,resnet1d,act,0.848105426301868,0.8746545866150858,0.0265491603132177,3.130407654455968,30,18,0.7777777777777778,1.0,0.0001815273640741,0.0013028073912618,1.0986502087803889,0.1452434033379982,0.9999999999899996,1.048420083095513,0.0,0.0,240,240,10,10,0.0,0.0,0.0,lraes,top1_repeated_baseline
ering,3,success,lraes,resnet1d,act,0.8501737413578302,0.8893133000396508,0.0391395586818206,4.603712414782137,30,22,0.7777777777777778,1.0,0.0001810055714715,0.0013498761463101,1.1000887399972603,0.1446802924000492,0.9999999999899996,1.0999095086492523,0.0,0.0,240,240,10,10,0.0,0.0,0.0,lraes,top1_repeated_baseline
handmovementdirection,1,success,lraes,resnet1d,act,0.2384428967090257,0.2669787887701408,0.0285358920611151,11.96759496188422,21,17,0.5395413410119293,0.3926728586171311,0.0002855111258718,1.1123324268348733e-07,1.0791878061552231,0.1405171705151269,0.9999999999899998,0.9899009169526736,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,lraes,random1_baseline
