dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum
cricket,3,random_cov_state,success,,1.0,1.0,0.0,860,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,24.658326325006783,0.0121426784291689,,
cricket,3,pca_cov_state,success,,1.0,1.0,0.0,860,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,20.914775430923328,0.0121472783390389,10.0,0.9743293523788452
ering,1,random_cov_state,success,,0.9740690423763212,0.9703566390471942,-0.0037124033291271,240,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,0.9813733538612724,0.0013172613688911,,
ering,1,pca_cov_state,success,,0.9740690423763212,0.97401738601522,-5.165636110127103e-05,240,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,1.0220084669999778,0.0013174528043204,10.0,0.9999999403953552
ering,2,random_cov_state,success,,0.992631493242143,0.9852204260484672,-0.0074110671936757,240,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,1.4309566798619926,0.0013012439198476,,
ering,2,pca_cov_state,success,,0.992631493242143,0.9888847717987924,-0.0037467214433505,240,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,1.8342033410444856,0.0013016501458047,10.0,0.9999999403953552
ering,3,random_cov_state,success,,0.981518064432085,0.9888879742812328,0.0073699098491476,240,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,0.8260234170593321,0.0013502155897947,,
ering,3,pca_cov_state,success,,0.981518064432085,0.9851810680950888,0.0036630036630036,240,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,0.8149684979580343,0.0013507066638475,10.0,0.9999998807907104
motorimagery,1,random_cov_state,success,,0.3339884266841358,0.3809523809523809,0.046963954268245,2220,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,434.4047787371092,0.0001057281779719,,
motorimagery,1,pca_cov_state,success,,0.3339884266841358,0.3453985367731998,0.0114101100890639,2220,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,241.37367153796367,0.0001057277964413,10.0,0.5153107047080994
motorimagery,2,random_cov_state,success,,0.3333333333333333,0.3333333333333333,0.0,2220,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,240.03661364899017,0.0001053658686132,,
motorimagery,2,pca_cov_state,success,,0.3333333333333333,0.3333333333333333,0.0,2220,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,237.089792910032,0.0001053658394596,10.0,0.5126819014549255
motorimagery,3,random_cov_state,success,,0.3605015673981191,0.3762993762993762,0.0157978089012571,2220,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,235.5158105350565,0.00010606017068,,
motorimagery,3,pca_cov_state,success,,0.3605015673981191,0.4505494505494505,0.0900478831513314,2220,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,235.68122321018015,0.0001060602717412,10.0,0.5157267451286316
heartbeat,1,random_cov_state,success,,0.6907993966817496,0.6840919867235657,-0.0067074099581838,1630,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,154.22855101712048,9.577865573881995,,
heartbeat,1,pca_cov_state,success,,0.6907993966817496,0.6719416785206258,-0.0188577181611238,1630,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,123.45568716991691,9.577801303138996,10.0,0.9288330078125
heartbeat,2,random_cov_state,success,,0.71546220042565,0.7217649946576569,0.0063027942320068,1630,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,26.48210432985797,9.609281515272638,,
heartbeat,2,pca_cov_state,success,,0.71546220042565,0.7099252071962806,-0.0055369932293694,1630,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,26.315133949974552,9.609121224719372,10.0,0.9195896983146667
