dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum,dba_k,dba_max_iter
fingermovements,1,raw_aug_jitter,success,,0.4591346153846154,0.5169082125603865,0.0577735971757711,2520,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.625,20,0,0,4.6939443540759385,,,,,
fingermovements,2,raw_aug_jitter,success,,0.537037037037037,0.4812328349099786,-0.0558042021270583,2520,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.6405372405372405,20,0,0,4.030541248968802,,,,,
fingermovements,3,raw_aug_jitter,success,,0.4456893501592169,0.5295766189570613,0.0838872687978444,2520,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.6559139784946236,17,0,0,3.842716866987757,,,,,
handmovementdirection,1,dba_sameclass,success,,0.2384428967090257,0.3836378382993256,0.1451949415902998,1280,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.5167542016806722,30,0,0,76.16058681800496,,,,5.0,5.0
handmovementdirection,2,dba_sameclass,success,,0.2030680813439434,0.3627874769179117,0.1597193955739682,1280,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.500392785319256,29,0,0,71.82612947293092,,,,5.0,5.0
handmovementdirection,3,dba_sameclass,success,,0.1875628456510809,0.3114495798319328,0.1238867341808518,1280,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.4272520242914979,24,0,0,70.52866669697687,,,,5.0,5.0
handmovementdirection,1,pca_cov_state,success,,0.2384428967090257,0.3510470507753117,0.1126041540662859,1280,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.3720588235294117,13,0,0,3.1701848619850352,1.1122576163040905e-07,10.0,0.614203155040741,,
handmovementdirection,2,pca_cov_state,success,,0.2030680813439434,0.2567315286065286,0.0536634472625851,1280,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.4083333333333333,14,0,0,3.2383444600272924,1.1119543866528438e-07,10.0,0.6061246395111084,,
handmovementdirection,3,pca_cov_state,success,,0.1875628456510809,0.2851921920996254,0.0976293464485444,1280,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.29848660111818,21,0,0,4.422506446950138,1.114869669192624e-07,10.0,0.6058002710342407,,
handmovementdirection,1,random_cov_state,success,,0.2384428967090257,0.2978106676959372,0.0593677709869114,1280,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.3897530165912519,20,0,0,4.335448077064939,1.1122564932851677e-07,,,,
handmovementdirection,2,random_cov_state,success,,0.2030680813439434,0.2469093406593406,0.0438412593153972,1280,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.3883283383283383,22,0,0,4.539237188058905,1.1118641264596458e-07,,,,
