dataset,method,seed_mean,seed_std,fail_reason_mean,fail_reason_std,base_f1_mean,base_f1_std,aug_f1_mean,aug_f1_std,gain_mean,gain_std,aug_count_mean,aug_count_std,aug_ratio_mean,aug_ratio_std,actual_aug_ratio_mean,actual_aug_ratio_std,train_split_only_mean,train_split_only_std,uses_external_library_mean,uses_external_library_std,budget_matched_mean,budget_matched_std,best_val_f1_mean,best_val_f1_std,stop_epoch_mean,stop_epoch_std,warning_count_mean,warning_count_std,fallback_count_mean,fallback_count_std,method_elapsed_sec_mean,method_elapsed_sec_std,transport_error_logeuc_mean_mean,transport_error_logeuc_mean_std,pca_n_components_mean,pca_n_components_std,pca_explained_variance_ratio_sum_mean,pca_explained_variance_ratio_sum_std,dba_k_mean,dba_k_std,dba_max_iter_mean,dba_max_iter_std
handmovementdirection,raw_aug_jitter,2.0,1.0,,,0.20969127456801664,0.026078629474673803,0.265734184400544,0.007073961262143595,0.056042909832527264,0.031143284690325908,1280.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4137031161992462,0.11625455931584734,26.0,2.0,0.0,0.0,0.0,0.0,4.600181850643518,0.3415185836193603,,,,,,,,,,
handwriting,dba_sameclass,2.0,1.0,,,0.4001000176877763,0.01581157827429161,0.38789929123753014,0.032872939476993886,-0.012200726450246132,0.03480694314107893,1200.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3378465608465608,0.04710212641973927,22.333333333333332,6.6583281184793925,400.0,0.0,400.0,0.0,10.553368641645648,0.1335933967928087,,,,,,,5.0,0.0,5.0,0.0
handwriting,pca_cov_state,2.0,1.0,,,0.4001000176877763,0.01581157827429161,0.4674405889172227,0.038831278159894116,0.06734057122944644,0.054627551757907095,1200.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3976216931216931,0.05897095121548909,23.0,6.082762530298219,0.0,0.0,0.0,0.0,3.1522928026582426,0.30320722627293695,0.00032270689161973336,2.593879329569822e-06,6.0,0.0,0.9999999602635702,3.4412757714036146e-08,,,,
handwriting,random_cov_state,2.0,1.0,,,0.4001000176877763,0.01581157827429161,0.4643840351655004,0.015589582982105032,0.06428401747772407,0.03072979463562027,1200.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.40324074074074073,0.0799104115138494,20.0,2.0,0.0,0.0,0.0,0.0,2.838710353632147,0.11123125270461871,0.0003227064440761,2.4221363122431464e-06,,,,,,,,
handwriting,raw_aug_jitter,2.0,1.0,,,0.4001000176877763,0.01581157827429161,0.4815838710680868,0.039015486757973075,0.08148385338031043,0.02320810867372884,1200.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.44675925925925913,0.11251143060356532,19.666666666666668,4.041451884327381,0.0,0.0,0.0,0.0,2.24011185435423,0.6264223771473986,,,,,,,,,,
har,dba_sameclass,2.0,1.0,,,0.9348949434714856,0.0006228747812612752,0.9390384503315355,0.006102954986755655,0.004143506860049866,0.006723257823094935,58810.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9870349115775445,0.0038379480783307077,30.0,0.0,0.0,0.0,0.0,0.0,366.9053392880208,6.879272350013002,,,,,,,5.0,0.0,5.0,0.0
har,pca_cov_state,2.0,1.0,,,0.9348949434714856,0.0006228747812612752,0.9526589349096618,0.0030414874607925346,0.017763991438176367,0.0024871704389100363,58810.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9983061036757865,0.0007067165976223452,30.0,0.0,0.0,0.0,0.0,0.0,153.98014855000656,0.17327261303821762,2.9530983444271968,0.0002436568305405023,10.0,0.0,0.9851415554682413,5.334067360882512e-05,,,,
har,random_cov_state,2.0,1.0,,,0.9348949434714856,0.0006228747812612752,0.9504481152861262,0.0041288659511442465,0.0155531718146406,0.004328818427959192,58810.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.99851511640499,0.0003454266976149708,30.0,0.0,0.0,0.0,0.0,0.0,154.14229136736444,0.05448760673709813,2.9530345500424295,0.00021826537410853293,,,,,,,,
har,raw_aug_jitter,2.0,1.0,,,0.9348949434714856,0.0006228747812612752,0.9574282914597271,0.008227377793544734,0.022533347988241467,0.0076069467300926945,58810.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.997700411434904,0.0009574638509269395,29.333333333333332,1.154700538379251,0.0,0.0,0.0,0.0,129.16034737698888,2.6155387394917096,,,,,,,,,,
heartbeat,dba_sameclass,2.0,1.0,,,0.6530270182885037,0.01673649152957013,0.6356945960124126,0.041259137771547806,-0.017332422276091,0.04667482926227825,1630.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7063047492583842,0.05351168304092588,20.666666666666668,2.081665999466132,0.0,0.0,0.0,0.0,291.47039412668283,4.168768639854856,,,,,,,5.0,0.0,5.0,0.0
