dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,jobda_num_transforms,jobda_transform_subseqs,jobda_cleanroom,jobda_official_code_confirmed,guided_warp_mode,guided_warp_slope_constraint,guided_warp_use_window,guided_warp_dtw_value_mean,guided_warp_amount_mean,guided_warp_cleanroom_adapter,guided_warp_batch_size,guided_warp_positive_batch,guided_warp_negative_batch,guided_warp_use_variable_slice,guided_warp_score_mean
japanesevowels,1,rgw_sameclass,success,,0.9561456014766324,0.9723292805888395,0.016183679112207083,2160,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,random_guided_warp_same_class_dtw_cleanroom,0.9628334628334628,30,0,0,5.678416339040268,,,,,rgw,symmetric,1.0,11.27523356716856,16.43398148148149,1.0,,,,,
japanesevowels,1,dgw_sameclass,success,,0.9561456014766324,0.9693294516110051,0.013183850134372732,2160,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,discriminative_guided_warp_same_class_dtw_cleanroom,0.9813519813519815,13,0,0,12.63708819297608,,,,,dgw,symmetric,1.0,12.007383282904678,16.221351851851857,1.0,6.0,3.0,3.0,1.0,10.783904911701748
japanesevowels,2,jobda_cleanroom,success,,0.9741476029508114,0.9717651016880706,-0.002382501262740755,648,3.0,3.0,raw_time_tsw,joint_hard,resnet1d,True,False,none,False,jobda_cleanroom_tsw_joint_label,1.0,30,0,0,1.9830718910088763,4.0,"0,2,4,8",1.0,0.0,,,,,,,,,,,
japanesevowels,2,rgw_sameclass,success,,0.9741476029508114,0.9896790775285988,0.015531474577787474,2160,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,random_guided_warp_same_class_dtw_cleanroom,1.0,30,0,0,5.6714370849658735,,,,,rgw,symmetric,1.0,11.649431879094358,15.900518518518522,1.0,,,,,
japanesevowels,2,dgw_sameclass,success,,0.9741476029508114,0.9812350602771431,0.007087457326331759,2160,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,discriminative_guided_warp_same_class_dtw_cleanroom,1.0,30,0,0,15.402472208952531,,,,,dgw,symmetric,1.0,12.295079349409463,16.164611111111117,1.0,6.0,3.0,3.0,1.0,11.058472502246888
japanesevowels,3,jobda_cleanroom,success,,0.9681596726696929,0.9852877938277419,0.01712812115804896,648,3.0,3.0,raw_time_tsw,joint_hard,resnet1d,True,False,none,False,jobda_cleanroom_tsw_joint_label,1.0,30,0,0,1.966981363017112,4.0,"0,2,4,8",1.0,0.0,,,,,,,,,,,
japanesevowels,3,rgw_sameclass,success,,0.9681596726696929,0.9772552046064172,0.0090955319367243,2160,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,random_guided_warp_same_class_dtw_cleanroom,1.0,30,0,0,5.629094187985174,,,,,rgw,symmetric,1.0,11.569287280103376,16.239259259259264,1.0,,,,,
japanesevowels,3,dgw_sameclass,success,,0.9681596726696929,0.9765705334850081,0.008410860815315169,2160,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,discriminative_guided_warp_same_class_dtw_cleanroom,1.0,27,0,0,14.874418223043904,,,,,dgw,symmetric,1.0,12.262707871373893,16.147203703703713,1.0,6.0,3.0,3.0,1.0,11.010728899368477
natops,1,jobda_cleanroom,success,,0.9373000436629222,0.9610910335060939,0.02379098984317174,432,3.0,3.0,raw_time_tsw,joint_hard,resnet1d,True,False,none,False,jobda_cleanroom_tsw_joint_label,0.972027972027972,30,0,0,1.3825855019968003,4.0,"0,2,4,8",1.0,0.0,,,,,,,,,,,
natops,1,rgw_sameclass,success,,0.9373000436629222,0.9776820721805439,0.04038202851762174,1440,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,random_guided_warp_same_class_dtw_cleanroom,0.972027972027972,30,0,0,4.606346453016158,,,,,rgw,symmetric,1.0,91.95067338383912,78.52954166666667,1.0,,,,,
