anchor_index,tid,class_id,candidate_order,direction_id,sign,gamma_requested,gamma_used,direction_norm,safe_upper_bound,safe_radius_ratio,manifold_margin,algo,engine_id,direction_bank_source,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,margin_aug,feedback_weight,osf_direction_id_lraes,osf_direction_id_zpia,osf_sign_lraes,osf_sign_zpia,osf_gamma_used_lraes,osf_gamma_used_zpia,osf_r_shared,osf_alpha_eff,osf_structure_norm_raw,osf_structure_norm_eff,osf_risk_norm_restored,osf_risk_budget,osf_risk_scale,osf_final_norm,osf_structure_overflow,osf_risk_status
15,ering_train_25,1,0,5,-1.0,0.1,0.1,1.0,0.39583484187338114,0.3572736722981293,0.791669683747554,adaptive,osf_fused,orthogonal_fusion,0.00017805809719875277,0.0009678774498526101,1.1335795802540836,0.1988950600609159,0.03261400759220123,0.5081527792529302,5,5,-1.0,-1.0,0.1,0.1,0.395834841873777,1.0,0.10000000043404171,0.10000000043404171,0.09999998464609453,0.38299506779386816,1.0,0.1414213675801509,False,restored
15,ering_train_25,1,1,0,-1.0,0.1,0.1,1.0,0.39583484187338114,0.35727365224326874,0.791669683747554,adaptive,osf_fused,orthogonal_fusion,0.00019028353420051764,0.0009737142523178531,1.1305559772717095,0.20308057074316235,0.0332726389169693,0.5083173924164708,0,0,-1.0,-1.0,0.1,0.1,0.395834841873777,1.0,0.09999999608052386,0.09999999608052386,0.0999999938681507,0.38299506893057156,1.0,0.14142135964173833,False,restored
23,ering_train_26,4,0,0,1.0,0.1,0.1,1.0,0.5676239315624835,0.24914620719374983,1.1352478631261023,adaptive,osf_fused,orthogonal_fusion,0.00017409758537890863,0.0005244092266673949,1.1387436069902834,0.1927663872865061,-0.10485834628343582,0.473809406759024,0,0,1.0,1.0,0.1,0.1,0.5676239315630511,1.0,0.1000000035503666,0.1000000035503666,0.09999997228426362,0.5587458518620269,1.0,0.14142134966158795,False,restored
23,ering_train_26,4,1,5,1.0,0.1,0.1,1.0,0.5676239315624835,0.24914626734718456,1.1352478631261023,adaptive,osf_fused,orthogonal_fusion,0.00018673533053981128,0.0005342882224299142,1.129170188606709,0.20294962713930803,-0.10550377517938614,0.473648494990829,5,5,1.0,1.0,0.1,0.1,0.5676239315630511,1.0,0.10000000036794962,0.10000000036794962,0.10000000765917413,0.5587458524315911,1.0,0.14142138380611707,False,restored
8,ering_train_27,5,0,2,-1.0,0.1,0.1,1.0,0.8002891553546612,0.17671285591518754,1.600578310710923,adaptive,osf_fused,orthogonal_fusion,0.00018150789564763274,0.003637392991710281,1.129284293569091,0.2090472505474371,-0.014097191393375397,0.49647576051604203,2,2,-1.0,-1.0,0.1,0.1,0.8002891553554615,1.0,0.10000002019832815,0.10000002019832815,0.10000000501038743,0.7940168311439576,1.0,0.1414213822009935,False,restored
8,ering_train_27,5,1,1,-1.0,0.1,0.1,1.0,0.8002891553546612,0.1767128478951769,1.600578310710923,adaptive,osf_fused,orthogonal_fusion,0.00018691931910080745,0.0036377148855783765,1.1473158661611325,0.21069542664631996,-0.015076696872711182,0.4962308971767733,1,1,-1.0,-1.0,0.1,0.1,0.8002891553554615,1.0,0.10000001121081935,0.10000001121081935,0.10000002146928395,0.7940168322758618,1.0,0.14142137578266598,False,restored
20,ering_train_28,3,0,4,-1.0,0.1,0.1,0.9999999403953552,0.4583718553562724,0.3085296258276837,0.9167436560712783,adaptive,osf_fused,orthogonal_fusion,0.00018268802512118554,0.001166330596884418,1.1456885227927331,0.2153573877890063,-0.10825718939304352,0.47296210364911756,4,4,-1.0,-1.0,0.1,0.1,0.45837182803563914,1.0,0.09999998405410612,0.09999998405410612,0.09999997639421904,0.4473306784984818,1.0,0.14142128859409564,False,restored
20,ering_train_28,3,1,6,-1.0,0.1,0.1,1.0,0.45837182803518073,0.3085299470620548,0.9167436560712783,adaptive,osf_fused,orthogonal_fusion,0.00018085946420896745,0.0011639037598919297,1.1412253959879268,0.1874680704817315,-0.10509929060935974,0.473749336331986,6,6,-1.0,-1.0,0.1,0.1,0.45837182803563914,1.0,0.10000000336553692,0.10000000336553692,0.09999998758062244,0.44733067418144506,1.0,0.14142143583888153,False,restored
2,ering_train_29,2,0,9,-1.0,0.1,0.1,1.0,0.39583484187338114,0.3572736374122435,0.791669683747554,adaptive,osf_fused,orthogonal_fusion,0.00018620152848796648,0.0011109756466247775,1.1512915844769318,0.2270285331910943,-0.049774736166000366,0.48755888444968065,9,9,-1.0,-1.0,0.1,0.1,0.395834841873777,1.0,0.1000000085759209,0.1000000085759209,0.10000000206972247,0.38299506566802366,1.0,0.1414213537711018,False,restored
2,ering_train_29,2,1,0,-1.0,0.1,0.1,1.0,0.39583484187338114,0.3572736819671809,0.791669683747554,adaptive,osf_fused,orthogonal_fusion,0.00019029296053452947,0.001123131379312916,1.1310674456798886,0.20360243001570882,-0.047213517129421234,0.48819881282099825,0,0,-1.0,-1.0,0.1,0.1,0.395834841873777,1.0,0.10000000873521922,0.10000000873521922,0.0999999978527353,0.38299506562643093,1.0,0.14142137140749841,False,restored
