dataset,method,seed_mean,seed_std,fail_reason_mean,fail_reason_std,base_f1_mean,base_f1_std,aug_f1_mean,aug_f1_std,gain_mean,gain_std,aug_count_mean,aug_count_std,aug_ratio_mean,aug_ratio_std,actual_aug_ratio_mean,actual_aug_ratio_std,train_split_only_mean,train_split_only_std,uses_external_library_mean,uses_external_library_std,budget_matched_mean,budget_matched_std,best_val_f1_mean,best_val_f1_std,stop_epoch_mean,stop_epoch_std,warning_count_mean,warning_count_std,fallback_count_mean,fallback_count_std,method_elapsed_sec_mean,method_elapsed_sec_std,mixup_alpha_mean,mixup_alpha_std,manifold_mixup_alpha_mean,manifold_mixup_alpha_std
har,manifold_mixup,2.0,1.0,,,0.9348949434714856,0.0006228747812612752,0.9329541645960248,0.009351407595480456,-0.0019407788754608,0.009911908688787432,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9709489198866104,0.003134881805808219,30.0,0.0,0.0,0.0,0.0,0.0,20.575364479678683,0.03822620029190479,,,0.4000000000000001,0.0
har,raw_mixup,2.0,1.0,,,0.9348949434714856,0.0006228747812612752,0.9450427641518081,0.006669036541696092,0.010147820680322467,0.006510271883806286,58810.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9974912922040989,0.0016587208226465544,26.333333333333332,4.725815626252608,0.0,0.0,0.0,0.0,111.66697563801426,19.827980758664264,0.4000000000000001,0.0,,
heartbeat,manifold_mixup,2.0,1.0,,,0.6530270182885037,0.01673649152957013,0.6468291265964989,0.051596224178052395,-0.006197891692004733,0.06474577537665763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6892731382758428,0.020615845170637966,19.333333333333332,3.0550504633038935,0.0,0.0,0.0,0.0,0.8334458893320212,0.14015994998196277,,,0.4000000000000001,0.0
heartbeat,raw_mixup,2.0,1.0,,,0.6530270182885037,0.01673649152957013,0.689561219805928,0.018516196534393743,0.036534201517424335,0.020544207816453414,1630.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7311782613614822,0.05770014000893146,22.666666666666668,6.5064070986477125,0.0,0.0,0.0,0.0,5.0181151670015725,1.3410883321086597,0.4000000000000001,0.0,,
japanesevowels,manifold_mixup,2.0,1.0,,,0.9661509590323788,0.009167563041868563,0.9787477877696292,0.012498381429445815,0.012596828737250267,0.020642243326899592,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.666666666666668,4.041451884327381,0.0,0.0,0.0,0.0,0.9692050923282901,0.14748201374265799,,,0.4000000000000001,0.0
japanesevowels,raw_mixup,2.0,1.0,,,0.9661509590323788,0.009167563041868563,0.9768844693938915,0.009413944785508234,0.010733510361512669,0.018357514917332663,2160.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9937839937839937,0.010766438586286843,30.0,0.0,0.0,0.0,0.0,0.0,4.949062157655135,0.020869682557620717,0.4000000000000001,0.0,,
libras,manifold_mixup,2.0,1.0,,,0.5604970086490186,0.47026135162447846,0.8420410625779554,0.059927546111697025,0.2815440539289369,0.5181108945734308,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8651851851851852,0.06119522830317892,27.333333333333332,4.618802153517006,0.0,0.0,0.0,0.0,0.7154428669794773,0.12041083005039732,,,0.4000000000000001,0.0
libras,raw_mixup,2.0,1.0,,,0.5604970086490186,0.47026135162447846,0.9022282338580331,0.008406162350808174,0.34173122520901456,0.47864678107972086,1440.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8971957671957672,0.03471161591599359,24.666666666666668,5.507570547286102,0.0,0.0,0.0,0.0,2.710669793654233,0.6127224297299197,0.4000000000000001,0.0,,
motorimagery,manifold_mixup,2.0,1.0,,,0.436153208624094,0.05260533084918073,0.4642315142615092,0.043854806901316976,0.028078305637415164,0.044231188069793786,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5271671042056516,0.00901554783015155,18.666666666666668,7.505553499465136,0.0,0.0,0.0,0.0,7.035904813014592,2.850524739949062,,,0.4000000000000001,0.0
motorimagery,raw_mixup,2.0,1.0,,,0.436153208624094,0.05260533084918073,0.46173550260404267,0.04654314577053892,0.02558229397994873,0.09350521628581453,2220.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5713412318675476,0.0472046981309674,15.333333333333334,4.932882862316248,0.0,0.0,0.0,0.0,34.74534953366189,10.02976773704597,0.4000000000000001,0.0,,
natops,manifold_mixup,2.0,1.0,,,0.9216425322831762,0.01515792484574601,0.9309110459138289,0.006753804727319311,0.009268513630652732,0.021822646282325987,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.972027972027972,0.0,25.666666666666668,7.505553499465135,0.0,0.0,0.0,0.0,0.7085288846477246,0.1793051354062066,,,0.4000000000000001,0.0
natops,raw_mixup,2.0,1.0,,,0.9216425322831762,0.01515792484574601,0.9296079267520693,0.01817994816978873,0.007965394468893133,0.012887531742124708,1440.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9633144633144634,0.015092239803991138,24.666666666666668,6.806859285554046,0.0,0.0,0.0,0.0,2.6773736343408623,0.7444628880958433,0.4000000000000001,0.0,,
pendigits,manifold_mixup,2.0,1.0,,,0.9830244122278083,0.0023534657348120956,0.9811815033189136,0.003772190349458577,-0.0018429089088945003,0.006089563648638617,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9980142956474095,0.000666550212043864,29.666666666666668,0.5773502691896255,0.0,0.0,0.0,0.0,20.625668198646355,0.40362199320382863,,,0.4000000000000001,0.0
pendigits,raw_mixup,2.0,1.0,,,0.9830244122278083,0.0023534657348120956,0.9818105159278531,0.004435499317622414,-0.0012138962999551665,0.002300852959308561,59950.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9988953143655958,0.0004006595820942071,17.333333333333332,2.516611478423583,0.0,0.0,0.0,0.0,74.08679791470058,11.191708038413575,0.4000000000000001,0.0,,
racketsports,manifold_mixup,2.0,1.0,,,0.8696074996720241,0.013229632397157179,0.8669399633674703,0.018135597037168348,-0.002667536304554,0.012186673616437113,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9501497821350763,0.01773084445521962,23.666666666666668,5.859465277082315,0.0,0.0,0.0,0.0,0.47104648031139124,0.1170426919032471,,,0.4000000000000001,0.0
racketsports,raw_mixup,2.0,1.0,,,0.8696074996720241,0.013229632397157179,0.9065936439644634,0.007330762640486472,0.036986144292439065,0.01671460415061678,1200.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9803921568627452,0.016980890270283114,20.0,8.660254037844387,0.0,0.0,0.0,0.0,1.8336802753231798,0.7517978863100887,0.4000000000000001,0.0,,
selfregulationscp2,manifold_mixup,2.0,1.0,,,0.45074054270119185,0.06325142551824281,0.44368516473779634,0.05254218533034088,-0.007055377963395501,0.01089718236877881,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5887095380701519,0.08219318611961907,18.0,10.44030650891055,0.0,0.0,0.0,0.0,1.583565434324555,0.9150054582312451,,,0.4000000000000001,0.0
selfregulationscp2,raw_mixup,2.0,1.0,,,0.45074054270119185,0.06325142551824281,0.4718621140330936,0.021995394098612828,0.021121571331901772,0.07556914865429318,1600.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5799933355619215,0.05890346090393208,19.666666666666668,9.291573243177568,0.0,0.0,0.0,0.0,8.836407106680175,4.146982844130088,0.4000000000000001,0.0,,
uwavegesturelibrary,manifold_mixup,2.0,1.0,,,0.7093520964994625,0.044257608347720065,0.7315035362161524,0.033648597954917245,0.02215143971668983,0.020321639373128624,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9119047619047619,0.0464743364189122,30.0,0.0,0.0,0.0,0.0,0.0,0.6963908543499807,0.013001387085275982,,,0.4000000000000001,0.0
uwavegesturelibrary,raw_mixup,2.0,1.0,,,0.7093520964994625,0.044257608347720065,0.7907575904789894,0.03981658602130971,0.08140549397952694,0.026258599904981212,960.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9443452380952381,0.022166126406387453,23.0,6.082762530298219,0.0,0.0,0.0,0.0,1.95032667935205,0.4812561907023526,0.4000000000000001,0.0,,
