dataset,seed,method,n_train,z_dim,n_classes,tangent_available_rate,insufficient_neighbor_count,fallback_count,selected_alignment_mean,selected_alignment_std,random_alignment_mean,random_alignment_std,pca_alignment_mean,pca_alignment_std,selected_minus_random_alignment,selected_minus_pca_alignment,selected_normal_leakage_mean,random_normal_leakage_mean,pca_normal_leakage_mean,actual_candidate_audit_available,audit_source,top1_alignment_mean,top5_alignment_mean,top5_alignment_std_mean,selected_alignment_rank_within_top5_mean,selected_alignment_minus_top5_mean,top5_response_mean,top5_response_std_mean,k_neighbors,tangent_dim_policy,explained_var_threshold,max_tangent_dim
ering,3,csta_topk_uniform_top5,24,10,6,1.0,0,0,0.1742110829158331,0.1303648670561059,0.1985850423363561,0.157937436081746,0.1916666666660916,0.2162007783340824,-0.0243739594205229,-0.0174555837502585,0.8257889170841668,0.8014149576636439,0.8083333333339083,True,actual_candidate_audit,0.1781451654437269,0.173374672346835,0.1172872180243096,3.0,0.0008364105689981,0.5912372060365205,0.1892764777907397,8,auto,0.9,10
ering,3,pca_cov_state,24,10,6,1.0,0,0,,,,,0.1916666666660916,0.2162007783340824,,,,,0.8083333333339083,False,policy_replay,0.178145165443727,0.173374672346835,0.1172872180243096,,,0.5912372060365205,0.1892764777907397,8,auto,0.9,10
ering,3,random_cov_state,24,10,6,1.0,0,0,,,0.1985850423363561,0.157937436081746,,,,,,0.8014149576636439,,False,policy_replay,0.178145165443727,0.173374672346835,0.1172872180243096,,,0.5912372060365205,0.1892764777907397,8,auto,0.9,10
handmovementdirection,1,csta_top1_current,128,55,4,1.0,0,0,0.2415893733800437,0.0942971901640262,0.1106733476157054,0.0597170250979751,0.2589876394519594,0.1266916631116132,0.1309160257643383,-0.0173982660719156,0.7584106266199562,0.8893266523842946,0.7410123605480405,False,policy_replay,0.2415893733800437,0.2429226486967972,0.0943311533656954,3.03125,-0.0013332753167534,0.2775472064310195,0.0898422310135231,8,auto,0.9,10
handmovementdirection,1,csta_topk_uniform_top5,128,55,4,1.0,0,0,0.2273854519284656,0.0996560464864999,0.1106733476157054,0.0597170250979751,0.2589876394519594,0.1266916631116132,0.1167121043127602,-0.0316021875234937,0.7726145480715344,0.8893266523842946,0.7410123605480405,True,actual_candidate_audit,0.2415893733800437,0.2429226486967972,0.0943311533656954,3.109375,-0.0155371967683315,0.2775472064310195,0.0898422310135231,8,auto,0.9,10
handmovementdirection,1,pca_cov_state,128,55,4,1.0,0,0,,,,,0.2589876394519594,0.1266916631116132,,,,,0.7410123605480405,False,policy_replay,0.2415893733800437,0.2429226486967972,0.0943311533656954,,,0.2775472064310195,0.0898422310135231,8,auto,0.9,10
handmovementdirection,1,random_cov_state,128,55,4,1.0,0,0,,,0.1106733476157054,0.0597170250979751,,,,,,0.8893266523842946,,False,policy_replay,0.2415893733800437,0.2429226486967972,0.0943311533656954,,,0.2775472064310195,0.0898422310135231,8,auto,0.9,10
handmovementdirection,2,csta_top1_current,128,55,4,1.0,0,0,0.2246630738433001,0.0955347668034866,0.1105850348580808,0.0593597653581569,0.2504310283785935,0.1106967165574013,0.1140780389852193,-0.0257679545352933,0.7753369261566998,0.8894149651419191,0.7495689716214065,False,policy_replay,0.2246630738433001,0.2325727464615797,0.0862826718160598,3.0625,-0.0079096726182795,0.280843928345209,0.0897027699171989,8,auto,0.9,10
handmovementdirection,2,csta_topk_uniform_top5,128,55,4,1.0,0,0,0.236713734285369,0.102987146240351,0.1105850348580808,0.0593597653581569,0.2504310283785935,0.1106967165574013,0.1261286994272882,-0.0137172940932244,0.7632862657146309,0.8894149651419191,0.7495689716214065,True,actual_candidate_audit,0.2246630738433001,0.2325727464615797,0.0862826718160598,2.9765625,0.0041409878237894,0.280843928345209,0.0897027699171989,8,auto,0.9,10
handmovementdirection,2,pca_cov_state,128,55,4,1.0,0,0,,,,,0.2504310283785935,0.1106967165574013,,,,,0.7495689716214065,False,policy_replay,0.2246630738433001,0.2325727464615796,0.0862826718160598,,,0.2808439283452091,0.0897027699171989,8,auto,0.9,10
handmovementdirection,2,random_cov_state,128,55,4,1.0,0,0,,,0.1105850348580808,0.0593597653581569,,,,,,0.8894149651419191,,False,policy_replay,0.2246630738433001,0.2325727464615796,0.0862826718160598,,,0.2808439283452091,0.0897027699171989,8,auto,0.9,10
handmovementdirection,3,csta_top1_current,128,55,4,1.0,0,0,0.2550960243448171,0.1182061855927554,0.1074326631414075,0.058226776355577,0.2597536095638451,0.1157087311916417,0.1476633612034096,-0.0046575852190279,0.7449039756551828,0.8925673368585926,0.7402463904361549,False,policy_replay,0.2550960243448171,0.2407838429155687,0.0956740044970855,2.8203125,0.0143121814292483,0.2825848460190182,0.0888315612871259,8,auto,0.9,10
handmovementdirection,3,csta_topk_uniform_top5,128,55,4,1.0,0,0,0.228466131044308,0.1099441178076113,0.1074326631414075,0.058226776355577,0.2597536095638451,0.1157087311916417,0.1210334679029005,-0.031287478519537,0.7715338689556919,0.8925673368585926,0.7402463904361549,True,actual_candidate_audit,0.2550960243448171,0.2407838429155687,0.0956740044970855,3.1484375,-0.0123177118712606,0.2825848460190182,0.0888315612871259,8,auto,0.9,10
handmovementdirection,3,pca_cov_state,128,55,4,1.0,0,0,,,,,0.2597536095638451,0.1157087311916417,,,,,0.7402463904361549,False,policy_replay,0.2550960243448171,0.2407838429155687,0.0956740044970855,,,0.2825848460190182,0.0888315612871259,8,auto,0.9,10
handmovementdirection,3,random_cov_state,128,55,4,1.0,0,0,,,0.1074326631414075,0.058226776355577,,,,,,0.8925673368585926,,False,policy_replay,0.2550960243448171,0.2407838429155687,0.0956740044970855,,,0.2825848460190182,0.0888315612871259,8,auto,0.9,10
handwriting,1,csta_top1_current,120,6,26,0.9333333333333332,20,20,0.4432631381223866,0.2977306315114131,0.3012157816872331,0.2406686153161661,0.2650741693211225,0.2797517203754983,0.1420473564351534,0.1781889688012641,0.5567368618776134,0.6987842183127669,0.7349258306788774,False,policy_replay,0.4432631381223865,0.3257015375207284,0.2296196992098752,2.4107142857142856,0.1175616006016582,0.3697576212937539,0.1285927989456383,8,auto,0.9,10
handwriting,1,csta_topk_uniform_top5,120,6,26,0.9333333333333332,20,20,0.3390282852087484,0.2766579291170041,0.3012157816872331,0.2406686153161661,0.2650741693211225,0.2797517203754983,0.0378125035215152,0.0739541158876259,0.6609717147912516,0.6987842183127669,0.7349258306788774,True,actual_candidate_audit,0.4432631381223865,0.3257015375207284,0.2296196992098752,2.955357142857143,0.01332674768802,0.3697576212937539,0.1285927989456383,8,auto,0.9,10
handwriting,1,pca_cov_state,120,6,26,0.9333333333333332,20,20,,,,,0.2650741693211225,0.2797517203754983,,,,,0.7349258306788774,False,policy_replay,0.4432631381223866,0.3257015375207284,0.2296196992098752,,,0.3697576212937539,0.1285927989456383,8,auto,0.9,10
handwriting,1,random_cov_state,120,6,26,0.9333333333333332,20,20,,,0.3012157816872331,0.2406686153161661,,,,,,0.6987842183127669,,False,policy_replay,0.4432631381223866,0.3257015375207284,0.2296196992098752,,,0.3697576212937539,0.1285927989456383,8,auto,0.9,10
handwriting,2,csta_top1_current,120,6,26,0.9333333333333332,20,20,0.404709990639873,0.2634735294287095,0.308808322522446,0.2411067278786231,0.3198807503690374,0.3009653628331257,0.095901668117427,0.0848292402708356,0.5952900093601269,0.691191677477554,0.6801192496309626,False,policy_replay,0.4047099906398731,0.3660730851155723,0.1976738409812801,2.696428571428572,0.0386369055243008,0.3912168280639283,0.1099451347170397,8,auto,0.9,10
handwriting,2,csta_topk_uniform_top5,120,6,26,0.9333333333333332,20,20,0.3947954884195752,0.2577783453317049,0.308808322522446,0.2411067278786231,0.3198807503690374,0.3009653628331257,0.0859871658971291,0.0749147380505377,0.6052045115804248,0.691191677477554,0.6801192496309626,True,actual_candidate_audit,0.4047099906398731,0.3660730851155723,0.1976738409812801,2.8035714285714284,0.0287224033040029,0.3912168280639283,0.1099451347170397,8,auto,0.9,10
handwriting,2,pca_cov_state,120,6,26,0.9333333333333332,20,20,,,,,0.3198807503690374,0.3009653628331257,,,,,0.6801192496309626,False,policy_replay,0.4047099906398731,0.3660730851155722,0.1976738409812801,,,0.3912168280639282,0.1099451347170397,8,auto,0.9,10
handwriting,2,random_cov_state,120,6,26,0.9333333333333332,20,20,,,0.308808322522446,0.2411067278786231,,,,,,0.691191677477554,,False,policy_replay,0.4047099906398731,0.3660730851155722,0.1976738409812801,,,0.3912168280639282,0.1099451347170397,8,auto,0.9,10
handwriting,3,csta_top1_current,120,6,26,0.9333333333333332,20,20,0.4266978763259824,0.2829065174109998,0.3085156616872145,0.2416072308029777,0.2909615598867723,0.3106829271948186,0.1181822146387679,0.13573631643921,0.5733021236740176,0.6914843383127856,0.7090384401132276,False,policy_replay,0.4266978763259824,0.3072862210704609,0.1875954287045003,2.232142857142857,0.1194116552555214,0.3583981210964416,0.1121954453141807,8,auto,0.9,10
handwriting,3,csta_topk_uniform_top5,120,6,26,0.9333333333333332,20,20,0.3068125705600029,0.2404735598355941,0.3085156616872145,0.2416072308029777,0.2909615598867723,0.3106829271948186,-0.0017030911272115,0.0158510106732305,0.6931874294399971,0.6914843383127856,0.7090384401132276,True,actual_candidate_audit,0.4266978763259824,0.3072862210704609,0.1875954287045003,2.9017857142857144,-0.000473650510458,0.3583981210964416,0.1121954453141807,8,auto,0.9,10
handwriting,3,pca_cov_state,120,6,26,0.9333333333333332,20,20,,,,,0.2909615598867723,0.3106829271948186,,,,,0.7090384401132276,False,policy_replay,0.4266978763259824,0.3072862210704609,0.1875954287045003,,,0.3583981210964416,0.1121954453141807,8,auto,0.9,10
handwriting,3,random_cov_state,120,6,26,0.9333333333333332,20,20,,,0.3085156616872145,0.2416072308029777,,,,,,0.6914843383127856,,False,policy_replay,0.4266978763259824,0.3072862210704609,0.1875954287045003,,,0.3583981210964416,0.1121954453141807,8,auto,0.9,10
japanesevowels,1,csta_top1_current,216,78,9,1.0,0,0,0.1394919029730965,0.0759316082707693,0.0764349379341934,0.0422070349918821,0.1730568754703073,0.0855795289922778,0.0630569650389031,-0.0335649724972107,0.8605080970269035,0.9235650620658066,0.8269431245296927,False,policy_replay,0.1394919029730965,0.1510500687834552,0.065699903297487,3.2916666666666665,-0.0115581658103586,1.5304873451039531,0.3773978212367997,8,auto,0.9,10
japanesevowels,1,csta_topk_uniform_top5,216,78,9,1.0,0,0,0.1572375952554487,0.0791455034695669,0.0764349379341934,0.0422070349918821,0.1730568754703073,0.0855795289922778,0.0808026573212553,-0.0158192802148585,0.8427624047445512,0.9235650620658066,0.8269431245296927,True,actual_candidate_audit,0.1394919029730965,0.1510500687834552,0.065699903297487,2.8703703703703702,0.0061875264719935,1.5304873451039531,0.3773978212367997,8,auto,0.9,10
japanesevowels,1,pca_cov_state,216,78,9,1.0,0,0,,,,,0.1730568754703073,0.0855795289922778,,,,,0.8269431245296927,False,policy_replay,0.1394919029730965,0.1510500687834552,0.0656999032974869,,,1.5304873451039536,0.3773978212367997,8,auto,0.9,10
japanesevowels,1,random_cov_state,216,78,9,1.0,0,0,,,0.0764349379341934,0.0422070349918821,,,,,,0.9235650620658066,,False,policy_replay,0.1394919029730965,0.1510500687834552,0.0656999032974869,,,1.5304873451039536,0.3773978212367997,8,auto,0.9,10
japanesevowels,2,csta_top1_current,216,78,9,1.0,0,0,0.135377723086967,0.0682095778387014,0.0759429248231882,0.0416518810576086,0.1765795632641682,0.0841658550247357,0.0594347982637788,-0.0412018401772012,0.864622276913033,0.9240570751768118,0.8234204367358318,False,policy_replay,0.135377723086967,0.1461565682025461,0.0642159946901097,3.189814814814815,-0.0107788451155791,1.491775978425743,0.3951366255839079,8,auto,0.9,10
japanesevowels,2,csta_topk_uniform_top5,216,78,9,1.0,0,0,0.1370694285337302,0.0742281889177732,0.0759429248231882,0.0416518810576086,0.1765795632641682,0.0841658550247357,0.061126503710542,-0.039510134730438,0.8629305714662698,0.9240570751768118,0.8234204367358318,True,actual_candidate_audit,0.135377723086967,0.1461565682025461,0.0642159946901097,3.199074074074074,-0.0090871396688159,1.491775978425743,0.3951366255839079,8,auto,0.9,10
japanesevowels,2,pca_cov_state,216,78,9,1.0,0,0,,,,,0.1765795632641682,0.0841658550247357,,,,,0.8234204367358318,False,policy_replay,0.135377723086967,0.1461565682025461,0.0642159946901097,,,1.4917759784257432,0.3951366255839078,8,auto,0.9,10
japanesevowels,2,random_cov_state,216,78,9,1.0,0,0,,,0.0759429248231882,0.0416518810576086,,,,,,0.9240570751768118,,False,policy_replay,0.135377723086967,0.1461565682025461,0.0642159946901097,,,1.4917759784257432,0.3951366255839078,8,auto,0.9,10
japanesevowels,3,csta_top1_current,216,78,9,1.0,0,0,0.1232027613331028,0.0802508631789961,0.0759399801429237,0.0420161551007983,0.1746845251218706,0.0853841677861015,0.047262781190179,-0.0514817637887678,0.8767972386668972,0.9240600198570762,0.8253154748781293,False,policy_replay,0.1232027613331028,0.143488437884608,0.068408061328612,3.462962962962963,-0.0202856765515052,1.5095176670305872,0.3701338892971614,8,auto,0.9,10
japanesevowels,3,csta_topk_uniform_top5,216,78,9,1.0,0,0,0.1439060672548735,0.081920760381679,0.0759399801429237,0.0420161551007983,0.1746845251218706,0.0853841677861015,0.0679660871119497,-0.030778457866997,0.8560939327451265,0.9240600198570762,0.8253154748781293,True,actual_candidate_audit,0.1232027613331028,0.143488437884608,0.068408061328612,2.962962962962963,0.0004176293702655,1.5095176670305872,0.3701338892971614,8,auto,0.9,10
japanesevowels,3,pca_cov_state,216,78,9,1.0,0,0,,,,,0.1746845251218706,0.0853841677861015,,,,,0.8253154748781293,False,policy_replay,0.1232027613331027,0.143488437884608,0.068408061328612,,,1.5095176670305872,0.3701338892971614,8,auto,0.9,10
japanesevowels,3,random_cov_state,216,78,9,1.0,0,0,,,0.0759399801429237,0.0420161551007983,,,,,,0.9240600198570762,,False,policy_replay,0.1232027613331027,0.143488437884608,0.068408061328612,,,1.5095176670305872,0.3701338892971614,8,auto,0.9,10
natops,1,csta_top1_current,144,300,6,1.0,0,0,0.0838414786909749,0.0501012871563924,0.0201338474439776,0.0111639879826574,0.1480149400809418,0.0858380084585983,0.0637076312469973,-0.0641734613899669,0.916158521309025,0.9798661525560224,0.851985059919058,False,policy_replay,0.0838414786909749,0.0936900822996626,0.0475058460434863,3.1319444444444446,-0.0098486036086876,2.551039279044512,0.6378608110027777,8,auto,0.9,10
natops,1,csta_topk_uniform_top5,144,300,6,1.0,0,0,0.0923705251520371,0.0586649552098359,0.0201338474439776,0.0111639879826574,0.1480149400809418,0.0858380084585983,0.0722366777080595,-0.0556444149289047,0.9076294748479627,0.9798661525560224,0.851985059919058,True,actual_candidate_audit,0.0838414786909749,0.0936900822996626,0.0475058460434863,3.013888888888889,-0.0013195571476254,2.551039279044512,0.6378608110027777,8,auto,0.9,10
natops,1,pca_cov_state,144,300,6,1.0,0,0,,,,,0.1480149400809418,0.0858380084585983,,,,,0.851985059919058,False,policy_replay,0.0838414786909749,0.0936900822996626,0.0475058460434863,,,2.551039279044512,0.6378608110027777,8,auto,0.9,10
natops,1,random_cov_state,144,300,6,1.0,0,0,,,0.0201338474439776,0.0111639879826574,,,,,,0.9798661525560224,,False,policy_replay,0.0838414786909749,0.0936900822996626,0.0475058460434863,,,2.551039279044512,0.6378608110027777,8,auto,0.9,10
natops,2,csta_top1_current,144,300,6,1.0,0,0,0.076531421335161,0.0455309560125045,0.0202553876358611,0.0114315102863642,0.1498346829617745,0.084357953099503,0.0562760336992999,-0.0733032616266134,0.9234685786648388,0.9797446123641388,0.8501653170382255,False,policy_replay,0.076531421335161,0.0739015736235937,0.0392054366124892,2.888888888888889,0.0026298477115673,2.4469857857240958,0.3851481625203688,8,auto,0.9,10
natops,2,csta_topk_uniform_top5,144,300,6,1.0,0,0,0.0789844234426577,0.0557342342272791,0.0202553876358611,0.0114315102863642,0.1498346829617745,0.084357953099503,0.0587290358067965,-0.0708502595191167,0.9210155765573425,0.9797446123641388,0.8501653170382255,True,actual_candidate_audit,0.076531421335161,0.0739015736235937,0.0392054366124892,2.895833333333333,0.0050828498190639,2.4469857857240958,0.3851481625203688,8,auto,0.9,10
natops,2,pca_cov_state,144,300,6,1.0,0,0,,,,,0.1498346829617745,0.084357953099503,,,,,0.8501653170382255,False,policy_replay,0.076531421335161,0.0739015736235937,0.0392054366124892,,,2.446985785724095,0.3851481625203687,8,auto,0.9,10
natops,2,random_cov_state,144,300,6,1.0,0,0,,,0.0202553876358611,0.0114315102863642,,,,,,0.9797446123641388,,False,policy_replay,0.076531421335161,0.0739015736235937,0.0392054366124892,,,2.446985785724095,0.3851481625203687,8,auto,0.9,10
natops,3,csta_top1_current,144,300,6,1.0,0,0,0.1189117869636119,0.074118004893688,0.0201706175440837,0.0118870843781125,0.1461754030632274,0.0742106049177255,0.0987411694195281,-0.0272636160996155,0.8810882130363881,0.9798293824559162,0.8538245969367725,False,policy_replay,0.1189117869636119,0.1010600795877177,0.0533529166721195,2.6597222222222223,0.0178517073758941,2.4317019580176167,1.0316245660773713,8,auto,0.9,10
natops,3,csta_topk_uniform_top5,144,300,6,1.0,0,0,0.10101082993612,0.0690658943291355,0.0201706175440837,0.0118870843781125,0.1461754030632274,0.0742106049177255,0.0808402123920363,-0.0451645731271073,0.8989891700638799,0.9798293824559162,0.8538245969367725,True,actual_candidate_audit,0.1189117869636119,0.1010600795877177,0.0533529166721195,3.0347222222222223,-4.924965159768535e-05,2.4317019580176167,1.0316245660773713,8,auto,0.9,10
natops,3,pca_cov_state,144,300,6,1.0,0,0,,,,,0.1461754030632274,0.0742106049177255,,,,,0.8538245969367725,False,policy_replay,0.1189117869636119,0.1010600795877177,0.0533529166721195,,,2.4317019580176167,1.0316245660773713,8,auto,0.9,10
natops,3,random_cov_state,144,300,6,1.0,0,0,,,0.0201706175440837,0.0118870843781125,,,,,,0.9798293824559162,,False,policy_replay,0.1189117869636119,0.1010600795877177,0.0533529166721195,,,2.4317019580176167,1.0316245660773713,8,auto,0.9,10
racketsports,1,csta_top1_current,120,21,4,1.0,0,0,0.3131420393219724,0.1727473132306253,0.2328417753623488,0.1227985540159293,0.3215936903456173,0.1606748740570585,0.0803002639596235,-0.0084516510236449,0.6868579606780276,0.7671582246376512,0.6784063096543826,False,policy_replay,0.3131420393219724,0.3044286300784846,0.1406084137162717,3.0083333333333333,0.0087134092434877,0.9098031937436988,0.2407236475920768,8,auto,0.9,10
racketsports,1,csta_topk_uniform_top5,120,21,4,1.0,0,0,0.3075435159602876,0.1569085355750894,0.2328417753623488,0.1227985540159293,0.3215936903456173,0.1606748740570585,0.0747017405979388,-0.0140501743853296,0.6924564840397124,0.7671582246376512,0.6784063096543826,True,actual_candidate_audit,0.3131420393219724,0.3044286300784846,0.1406084137162717,2.975,0.003114885881803,0.9098031937436988,0.2407236475920768,8,auto,0.9,10
racketsports,1,pca_cov_state,120,21,4,1.0,0,0,,,,,0.3215936903456173,0.1606748740570585,,,,,0.6784063096543826,False,policy_replay,0.3131420393219724,0.3044286300784846,0.1406084137162717,,,0.9098031937436988,0.2407236475920768,8,auto,0.9,10
racketsports,1,random_cov_state,120,21,4,1.0,0,0,,,0.2328417753623488,0.1227985540159293,,,,,,0.7671582246376512,,False,policy_replay,0.3131420393219724,0.3044286300784846,0.1406084137162717,,,0.9098031937436988,0.2407236475920768,8,auto,0.9,10
